neighborhood,black_18,black_under_18,county,hispanic_18,hispanic_under_18,other_18,other_under_18,population_black_total,population_hisp_total,population_other_total,population_total,population_under_18,population_under_3,population_under_5,population_white_total,poverty_under_5,state,white_18,white_under_18,children_in_poverty_ratio,homeownership_ratio,median_family_income_ratio,no_hs_degree_18_24_ratio,no_hs_degree_25_plus_ratio,single_mother_families_perc_ratio,total_neighborhood_poverty_ratio,work_ratio,youth_ready_to_work_ratio,black_18_margin,black_under_18_margin,children_in_poverty_denom_margin,children_in_poverty_numer_margin,hispanic_18_margin,hispanic_under_18_margin,homeownership_denom_margin,homeownership_numer_margin,median_family_income_denom_margin,median_family_income_numer_margin,no_hs_degree_18_24_denom_margin,no_hs_degree_18_24_numer_margin,no_hs_degree_25_plus_denom_margin,no_hs_degree_25_plus_numer_margin,other_18_margin,other_under_18_margin,population_black_total_margin,population_hisp_total_margin,population_other_total_margin,population_total_margin,population_under_18_margin,population_under_3_margin,population_under_5_margin,population_white_total_margin,poverty_under_5_margin,single_mother_families_perc_denom_margin,single_mother_families_perc_numer_margin,total_neighborhood_poverty_denom_margin,total_neighborhood_poverty_numer_margin,white_18_margin,white_under_18_margin,work_denom_margin,work_numer_margin,youth_ready_to_work_denom_margin,youth_ready_to_work_numer_margin
11,335.004,54.068,1.793,531.581,229.027,515.021,515.021,389.072,760.608,1354.623,11713.635,2442.714,458.953,798.82,9209.332,0,19.723,7564.734,1644.598,0.007445105,0.733351493,180260.4599,0.010257411,0.017967888,0.12650394,0.054784329,0.03889975,0.937893423,355.5242667,64.94059177,319.8811775,65.82850301,721.2824036,124.559392,121.6229875,278.9710787,1.142961504,0,262.80459,34.23343144,440.4835048,96.87339666,1076.751709,1076.751709,118.5080889,240.4274679,312.5641382,435.183471,215.3503419,162.3351521,191.8655484,504.658236,25.8114697,214.4126156,131.7131245,403.466497,216.7277892,1513.974708,230.4784896,309.8923518,97.38873545,162.7232536,159.9779949
12,743.506,12.228,2.355,887.273,152.498,239.682,239.682,736.224,1039.771,1210.807,12278.39,1304.195,258.459,471.763,9291.588,14.391,25.905,8391.801,899.787,0.031036862,0.3837854,172372.2527,0.05762001,0.01566917,0.088679259,0.083262198,0.036897466,0.937666066,635.5356048,48.6563509,230.0934754,73.57139621,825.0965008,96.44275919,217.6243692,229.6065028,1.321837736,0,271.7601329,94.91229766,544.4436723,95.18599064,1083.227078,1083.227078,216.2767398,275.0321669,290.8031394,581.8677678,216.6454156,80.46956249,122.8968771,548.7759141,32.07450841,203.3163194,66.18344593,574.7151728,279.9304065,1646.327742,185.1783906,474.1128442,109.4277083,249.1660867,239.1455667
13,905.71,115.2,3.455,1209.175,247.005,275.57,275.57,975.175,1456.18,1128.825,15312.235,2361.41,383.11,622.23,11752.055,0,38.005,10028.42,1723.635,0.009122897,0.744772022,230648.966,0.023491793,0.020519127,0.070090625,0.109015699,0.040029684,0.816890399,987.7738636,95.03237133,265.7779886,88.02708319,1070.242929,101.737641,163.5595381,238.7436356,1.790816853,0,630.4941784,86.55520247,416.4309888,123.3846221,1331.208121,1331.208121,324.1934992,356.7476432,268.7753075,809.2626098,266.2416243,116.6488101,147.2565045,666.3947599,35.68837976,266.1345571,126.8991356,587.2716552,389.2498627,1999.18428,212.6915182,379.316691,84.5861444,255.6971265,222.822559
14,731.621,37.8,4.176,1275.868,97.117,358.165,358.165,753.666,1372.985,1804.099,15970.426,1368.056,537.461,650.497,12039.676,0,45.936,11164.702,874.974,0.015206931,0.451274753,141807.2757,0.01995462,0.039408284,0.080120754,0.117541501,0.049224344,0.947861959,670.6895122,78.34689783,296.8928498,83.5523834,1415.717362,131.712082,307.072548,369.4542457,1.918997134,0,542.6697182,74.68156048,696.7562683,209.5135109,1433.564195,1433.564195,223.2247871,471.9057873,523.4017407,804.5001863,286.712839,199.8143403,210.0756546,770.859367,33.86313113,286.712839,97.66254351,791.1963076,512.872999,2312.578101,199.1730232,565.4974866,162.7793135,301.0845119,283.0442451
15,734.06,0,3.676,1257.736,207.771,244.607,244.607,672.09,1465.507,1397.464,14361.887,1470.001,385.008,595.585,10826.826,12.609,40.436,9809.203,1017.623,0.040921766,0.411122738,210467.9398,0,0.020814172,0.089739432,0.088094282,0.052164168,1,544.6256278,61.65821412,245.2704566,89.67852463,976.7753222,102.5050222,255.5140215,274.4022155,1.755139311,0,320.4274425,43.59894132,595.5318797,123.9843212,1184.00436,1184.00436,170.8309207,325.5917741,300.3189382,681.8400648,236.800872,107.0045329,143.6912086,594.7988583,35.92565493,224.7965361,86.57838845,669.2785968,302.0889432,1784.396575,199.8931846,560.7269414,160.331789,275.4530542,275.4530542
16,2568,543,1,42,22,12,12,3102,64,186,4200,819,134,246,848,0,11,606,242,0.013580247,0.877578177,156442,0.088435374,0.025664811,0.124833997,0.036594116,0.093167702,0.408163265,1098,169.5169608,178.7008674,44.10215414,150,34.3074336,104,155.8909876,1,0,72.83543094,28.16025568,262.941058,73.68174808,645,645,365,50,84.86459804,302,129,67,90.60905032,199,16.97056275,129,70,299,90,597,81.11719916,170,69.35416354,57.74080013,43.4281015
17,12393.22,2283.213,6.07,3215.833,1548.556,62.993,62.993,14285.733,4764.389,930.42,22226.932,4239.118,900.655,1367.826,2246.39,238.132,66.77,1902.034,344.356,0.213217929,0.476774506,71939.56699,0.220044676,0.173042624,0.263895484,0.144034593,0.11546008,0.756139463,2430.896886,316.4028441,466.5630772,223.0616489,2510.425116,308.9206402,236.0868798,305.4574455,2.327594037,0,300.6880445,166.8137926,759.466707,395.0493508,2404.890682,2404.890682,795.4920104,836.8083719,357.12482,999.0238017,480.9781363,207.3271028,247.6555553,284.0175802,115.0338851,443.7422715,228.8455112,985.376534,621.4290365,852.0527405,111.0446226,674.1284246,215.0944616,231.6368732,209.0492604
18,18267.951,4168.582,10.267,6723.27,2360.765,339.563,339.563,21708.063,9084.035,1836.299,38121.575,7536.4,1622.862,2648.915,5493.178,526.274,112.937,4825.688,667.49,0.246490919,0.549928138,75074.14979,0.259679717,0.158907725,0.383860232,0.156785362,0.137234915,0.715864805,3843.195783,468.0132557,645.3377755,393.4824484,3341.943543,382.7852859,314.1875774,462.3396704,3.134014837,0,443.9984654,276.4861855,1027.778951,474.1915588,3711.931128,3711.931128,1191.432196,1113.981181,349.8783857,1487.727612,742.3862256,327.2091698,407.5672832,537.3536953,217.4447056,692.3971689,534.9176999,1476.599199,966.6701283,1612.061086,156.3241167,882.2113538,367.3795835,357.7915593,295.7290467
19,7826.125,1864.248,3.999,1152.259,662.847,35.292,35.292,9529.079,1815.106,431.836,13095.633,2632.642,480.278,900.77,1319.612,115.176,43.989,1249.357,70.255,0.161973606,0.578403604,71312.37873,0.054313198,0.11984929,0.332283249,0.141015206,0.155643027,0.809711671,2032.258499,303.3118378,341.6525952,130.8912512,1267.038053,150.7328455,166.8323685,242.035326,1.772853914,0,214.6423364,60.92402758,491.881624,187.7668909,2117.805517,2117.805517,709.3550672,422.3460178,161.4344839,721.4236936,423.5611033,136.0654107,212.657078,202.9564249,59.46601478,423.9160453,269.541523,698.5770815,331.2454778,608.8692746,64.34161332,416.7911509,180.6632906,150.5645665,137.1110888
20,8426.785,1594.612,3.56,890.889,575.181,-29.025,-29.025,9896.063,1466.07,216.521,13402.985,2189.611,328.259,733.45,1824.331,85.062,39.16,1775.488,48.843,0.185255069,0.631311671,69173.56968,0.090155978,0.124800942,0.436427524,0.146459382,0.151252703,0.802017972,1879.569714,257.3460809,307.8697067,137.2048567,1375.995686,174.6061056,150.0839196,267.6061451,1.755592777,0,300.6804844,98.70362436,533.9535003,232.139577,1852.889376,1852.889376,625.6633685,458.6652285,83.31336104,701.7151244,370.5778752,127.876791,222.4808055,276.1735127,61.74470456,330.2433398,279.3200967,663.8802146,351.4919208,828.520538,65.19289327,401.4426573,233.3890149,201.9557712,182.0860016
21,11707.753,2505.604,9.06,1367.398,640.394,-25.942,-25.942,13951.081,2007.792,1075.575,22128.743,3366.692,568.634,1146.013,5094.295,263.109,99.66,4847.659,246.636,0.25409822,0.443370559,78162.35392,0.106718899,0.132516441,0.559313367,0.204758589,0.097108584,0.777316591,2915.244263,355.5751839,436.3298708,251.9091283,1586.607839,194.0683809,263.4144392,334.0697117,3.000388975,0,446.1616961,129.8647969,772.0400722,308.7424011,2501.902207,2501.902207,937.4915631,528.8692797,270.9377197,1035.977084,500.3804413,172.8486535,253.7449947,545.0435089,129.9307663,462.7185326,373.4734003,1017.111133,657.6861841,1635.130527,136.7070541,620.0184965,216.7394452,342.7706295,303.1337172
22,8447.578,2637.832,3.968,543.229,243.08,57.752,57.752,10941.562,786.309,502.531,14091.211,3350.856,720.617,1107.363,1860.809,223.033,43.648,1448.617,412.192,0.290295842,0.589613657,73469.58566,0.146824737,0.135681695,0.537135243,0.202181922,0.116380965,0.668601067,2130.377577,357.1571611,419.2792747,261.6633188,754.317834,107.6577543,145.5640676,220.8129357,1.844022234,0,208.8304835,78.46582627,498.2150388,203.7850686,2467.746051,2467.746051,704.3514023,251.439278,178.667121,701.7734263,493.5492102,208.9905038,249.0062243,299.0897082,137.3880038,499.6920642,476.2614798,704.675394,593.9332017,897.2691245,153.3393264,433.7942455,184.9493942,155.1287904,130.2401487
23,10544.723,2755.844,5.133,645.762,394.719,55.936,55.936,13204.395,1040.481,594.32,16216.366,3274.725,514.014,919.984,1377.17,362,56.463,1308.944,68.226,0.422190042,0.287070266,37614.6568,0.182768675,0.238528044,0.722046558,0.330180776,0.136914969,0.558608803,3051.30036,389.9472358,421.6996481,272.0089139,1307.923968,158.6512418,283.5973128,236.5544785,2.240019866,0,354.2392634,169.4024598,682.7415758,346.4516511,2329.838528,2329.838528,1008.07587,435.9746561,194.2478944,1030.075211,465.9677057,174.0051549,229.5288268,231.7645026,157.0130391,402.6697759,343.9257054,1011.143682,721.7984825,695.2935079,88.1036815,493.1345215,194.0087057,262.8037884,196.6458215
24,5011.423,979.1,1.881,318.007,86.231,-15.12,-15.12,5906.527,404.238,83.999,6872.973,1116.419,342.395,535.179,478.209,0.209,20.691,412.001,66.208,0.053404827,0.52043519,79779.91225,0.069528698,0.147410589,0.284879063,0.164950277,0.109539342,0.66670421,1376.629288,250.9505456,246.7729851,56.12301076,356.8679443,61.93184472,109.2431893,166.856992,1.18383656,0,194.3594989,35.24485727,365.4582,149.8944708,1285.508859,1285.508859,452.2005275,118.9559814,47.25110858,457.6478989,257.1017717,116.8609342,146.9990111,146.7846425,20.09213421,223.7853909,169.082747,453.1062475,246.7164895,440.3539275,49.30710047,272.6093733,85.98361214,95.90537859,84.09126059
25,9296.459,1953.932,9.476,1226.636,357.617,174.784,174.784,10939.794,1584.253,1747.329,26878.379,3758.34,998.685,1548.138,12607.003,159.166,104.236,11334.996,1272.007,0.166963607,0.507371153,119446.8833,0.107387261,0.09039613,0.361969574,0.132849438,0.05926411,0.831486713,2386.364942,309.3773624,420.4434143,207.6252055,1041.208277,183.3054849,281.6125362,367.9494649,2.964888194,0,393.8545681,133.529758,855.3102612,302.4784149,2060.947445,2060.947445,765.5058693,347.0694258,338.5850337,983.3951065,412.189489,184.6051714,232.3761101,618.9608428,107.1072817,404.153715,320.1433306,964.9557711,595.1239596,1856.882528,193.3546045,718.5272944,205.6145551,348.9035579,324.5780638
26,8204.348,1177,10.51,1145.129,300.199,288.349,288.349,9280.21,1445.328,1257.376,28677.448,3615.7,978.899,1463.073,16694.534,124.834,115.61,14844.382,1850.152,0.203402309,0.551995567,158510.2895,0.20015928,0.081752149,0.198056206,0.11871051,0.043613939,0.903325768,1721.317073,242.9306298,379.1300101,218.7186973,1141.853169,169.9628527,257.9564424,344.8075945,3.135993304,0,389.9766467,154.1181966,771.3734755,278.6208454,1709.015259,1709.015259,562.7901193,380.6177229,237.2606729,883.3983221,341.8030517,178.1453335,212.0077637,689.8825244,89.23828042,306.5498807,179.9080144,789.5026776,486.5233511,2069.647573,229.5451344,618.0860089,157.6216282,234.3581104,226.6809005
27,972,84,1,117,0,22,22,1015,117,270,3485,220,120,161,2083,0,11,1969,114,0.086363636,0.218151071,89821,0.055793991,0.068199532,0.434285714,0.12454435,0.017394994,0.876494024,813,70.59745038,98.96464015,49.83974318,237,33.9411255,119,92.37423883,1,0,311.4819417,47.75981575,347.321177,92.79547403,485,485,268,79,109.0412766,485,97,56,64.49806199,427,16.97056275,71,54,327,145,1281,54.56189146,431,37,194.7793624,189.4386444
28,3196.921,1456.261,2.009,1.078,1.188,0.437,0.437,4652.104,2.266,12.097,4722.875,1459.86,326.291,637.37,56.408,458.803,22.099,54.434,1.974,0.674407445,0.240617605,28350.17062,0.377845363,0.221758828,0.860837751,0.447813161,0.147333989,0.503628177,1549.327004,257.3497533,258.8009165,221.6975474,50.92942788,47.70118275,132.2220595,107.3854724,1.40522347,0,150.7378318,92.68294021,289.8958433,170.1724305,1811.385749,1811.385749,516.4420034,16.97647596,33.66493398,520.8809515,362.2771498,139.331181,185.8427981,66.31798864,156.7270477,341.1014896,338.0359433,520.8812744,507.5736663,198.9539659,44.74408269,208.6762093,112.6145662,109.7024303,89.49375121
29,1369.862,844.778,0.893,6.251,0,4.465,4.465,2214.64,6.251,28.576,2251.253,850.136,30.362,95.551,1.786,81.263,9.823,0.893,0.893,0.572486772,0.418367347,31429,0.325,0.277915633,0.649056604,0.430561082,0.095959596,0.503703704,1001.946,185.6817372,207.5855284,145.1008218,29.469,30.30942507,57.152,74.37676864,0.893,0,127.5521638,82.59163848,152.8517609,94.9230017,977.835,977.835,333.982,9.823,35.72,330.41,195.567,39.292,57.49283525,4.465,56.20227299,181.279,165.205,331.303,298.262,13.395,28.47816063,122.341,36.9706314,101.8881302,83.60406979
30,4409.965,1718.257,2.065,114.211,61.825,0,0,6119.601,176.036,30.486,6351.384,1780.315,387.852,654.522,25.261,357.422,22.715,25.028,0.233,0.418707744,0.249964508,31020.62147,0.25573339,0.233082495,0.856082844,0.321342604,0.20810658,0.606792865,1772.025456,332.2305325,341.1061717,244.6126866,423.9768576,65.82500403,154.5895794,135.8726311,1.321557036,0,168.4859955,90.68987174,377.4342173,198.8864292,1852.260203,1852.260203,591.2954031,141.3256192,38.59916875,596.9959248,370.4520405,149.8936658,218.4735447,22.33013088,199.3582131,349.8056723,335.4752345,597.5353466,484.6336494,66.99039263,44.77336218,274.8249815,148.1366846,153.3838635,116.2533961
31,8877.59,4059.004,4.547,151.533,37.45,10.535,10.535,12880.53,188.983,106.868,13317.169,4115.634,700.204,987.701,140.788,365.139,50.017,132.143,8.645,0.447670413,0.401035179,37225.27374,0.249002223,0.213089407,0.772301123,0.326932227,0.163978656,0.518731273,2585.067361,517.1930678,544.1408785,377.1600207,359.0768859,74.89859694,218.8615146,247.2301713,2.028422293,0,258.0317775,145.6752513,523.4399541,253.5250957,2594.18376,2594.18376,862.7497057,119.6922953,72.87117323,857.5021482,518.836752,222.5889067,257.8554006,74.63254299,146.8565051,544.8153556,546.3174453,857.9361594,850.6166165,223.897629,67.15117266,433.7389152,160.9725703,201.5825168,148.9643639
32,9051.114,2721.269,3.945,132.401,127.37,1.304,1.304,11737.286,259.771,75.075,12130.392,2850.595,600.633,1000.831,58.26,436.213,43.395,57.608,0.652,0.361409756,0.344178541,44689.40652,0.220654202,0.166728003,0.639287158,0.264362031,0.207693233,0.381748895,2282.171104,391.6925182,426.0972973,263.0431077,560.62409,129.6133679,185.5789342,252.3463895,1.907378568,0,294.3345567,138.5635362,511.3193229,248.9432712,2305.252283,2305.252283,761.7352245,186.8746967,75.29500035,761.0937092,461.0504565,211.4742336,257.8578025,51.32686787,179.9688022,399.2927333,320.1606803,756.7500901,600.1363265,153.9806036,69.98272304,367.7730015,231.4699855,242.9057865,134.0454647
33,11758.695,4421.611,6.713,250.071,158.985,12,12,16070.991,409.056,222.07,16862.282,4612.825,756.28,1256.96,160.165,528.008,73.843,139.936,20.229,0.396349946,0.396113159,44212.63023,0.242055833,0.176068711,0.686262494,0.273408707,0.194462148,0.511939863,2361.624257,434.5074191,479.9696884,303.8521363,606.8288206,120.2956253,234.4809733,266.1513104,2.477456962,0,264.7818257,138.9185027,533.2193115,253.5240328,2608.376293,2608.376293,784.3622709,202.2762735,193.1270643,794.9076424,521.6752585,186.8297529,248.0636357,92.59807243,164.1863346,535.4621964,463.8295462,800.0076019,704.1246638,277.7942173,85.37438633,406.472213,209.5522433,222.9922779,172.5686205
34,12633.57,2425.893,5.355,116.533,63.466,77.592,77.592,15021.464,179.999,391.807,15932.308,2601.837,532.083,754.311,339.038,321.485,58.905,304.152,34.886,0.320875824,0.470289924,61508.90405,0.267605207,0.140578984,0.594412343,0.216321274,0.165221826,0.561100274,2154.266648,327.5841382,352.7826329,219.6422703,336.1146563,90.25586763,244.7684914,312.8177603,2.206324772,0,253.2847612,146.6959028,600.2372053,266.1920525,1857.22705,1857.22705,718.1214263,112.0382188,177.0979685,731.7469367,371.4454099,196.1365685,216.8893179,115.7332998,141.5394503,313.6685105,295.2594262,731.6876396,592.3979886,347.1998995,74.44690581,429.2748005,214.456919,198.2482257,153.9876624
35,3905.204,659.188,1.482,178,5.904,2.104,2.104,4526.488,183.904,91.118,5055.212,677.658,99.586,142.124,253.702,13.47,16.302,243.24,10.462,0.281495092,0.379818981,60014.23545,0.300075474,0.124197878,0.726568624,0.179886187,0.201292784,0.582678868,1454.080752,207.4252213,212.8976849,127.1908904,327.4278643,37.12470401,188.0105932,200.4947511,1.063625874,0,153.9516129,107.9175972,426.059582,157.4839764,1127.111808,1127.111808,475.8547,109.1426214,61.25103715,452.6411169,225.4223616,95.90016075,103.2173984,119.1849897,20.24203241,214.1860986,206.0756604,452.6411169,354.1653512,357.554969,41.21164578,274.7271267,176.9666313,150.1144911,102.9633585
36,5536.981,2350.957,2.013,34,10,0.013,0.013,7887.938,44,20.013,8030.653,2360.996,352.911,650.692,78.702,278.159,22.143,78.676,0.026,0.541715923,0.142955286,27626.61723,0.368535934,0.234565758,0.853682974,0.468105288,0.289721747,0.535754347,2038.880927,354.3287827,348.9550605,258.7767055,143.2802116,49.15480331,141.6833016,116.9696084,1.414273312,0,292.6973133,179.6295626,407.0817889,202.7963738,2488.418333,2488.418333,679.6269757,47.76007052,43.83033219,676.6328057,497.6836666,137.2147911,182.564024,64.35649649,120.2605283,497.9483063,452.7701482,639.3856064,632.1669844,193.0694895,48.00153506,255.3526113,182.5989597,156.664958,118.3790284
37,5165.098,3123.782,2.978,88.922,92.812,-21.45,-21.45,8159.958,181.734,83.89,8458.472,3195.144,597.798,994.938,32.89,635.038,32.758,32.89,0,0.535300828,0.167442731,24870.72813,0.180570047,0.222920289,0.72515197,0.397089631,0.184124425,0.675873163,2094.564571,396.3556121,406.9708689,291.4722272,343.8832412,74.2003514,149.2461492,113.4523442,1.719442933,0,240.7900387,86.12822789,360.7528533,187.6359371,2173.753328,2173.753328,704.9365324,114.6277471,100.9413184,692.3859343,434.7506656,156.1856303,218.151197,37.81818314,198.9318346,413.9426536,402.26447,690.9406909,544.0192814,113.4545494,58.35982838,281.5085331,142.42224,193.7240516,165.9547141
38,8113.07,4786.529,3.626,90.545,89.229,-62.229,-62.229,12785.72,179.774,90.546,13123.189,4813.529,794.234,1478.415,67.149,681.327,39.886,67.149,0,0.456913734,0.16538308,27187.98134,0.256118214,0.214518034,0.816416878,0.39407433,0.292859309,0.553395102,2410.707217,578.4905393,609.1669872,361.9153872,431.4826854,95.04486735,153.917857,167.9057573,1.840309213,0,288.2155957,131.7669985,482.9622242,255.8839612,2915.366016,2915.366016,814.9835299,143.8275618,91.82000351,792.9804086,583.0732033,268.6627923,348.5583673,45.60816292,242.300535,498.5874923,488.8819371,785.4632628,742.5575873,136.8244888,62.46216596,339.8474184,227.2115314,190.5528465,144.0118297
